kp,kd,step_rad,send_ms,elapsed_ms,feedback_elapsed_ms,q_base,q_target,angle,speed,position_error,response_ratio,t_ref_est,type2_torque,motor_age_ms,online,error_code
140.0,1.6,0.03,6.45550299941533,105.5881189995489,104.5881189995489,0.001,0.031,0.03,0.05,0.0010000000000000009,0.9666666666666667,0.06000000000000011,0.06,1.0,True,0
140.0,1.6,0.03,6.45550299941533,125.5747169998358,119.5747169998358,0.001,0.031,0.03,0.03,0.0010000000000000009,0.9666666666666667,0.09200000000000012,0.07,6.0,True,0
140.0,1.6,0.03,6.45550299941533,145.53305899971747,134.53305899971747,0.001,0.031,0.03,0.01,0.0010000000000000009,0.9666666666666667,0.12400000000000012,0.06,11.0,True,0
140.0,1.6,0.03,6.45550299941533,166.12080100003368,166.12080100003368,0.001,0.031,0.03,0.0,0.0010000000000000009,0.9666666666666667,0.14000000000000012,0.0,0.0,True,0
140.0,1.6,0.03,6.45550299941533,185.58894199941278,180.58894199941278,0.001,0.031,0.03,-0.05,0.0010000000000000009,0.9666666666666667,0.22000000000000014,0.0,5.0,True,0
140.0,1.6,0.03,6.45550299941533,204.82236499992723,194.82236499992723,0.001,0.031,0.03,0.06,0.0010000000000000009,0.9666666666666667,0.04400000000000012,0.0,10.0,True,0
140.0,1.6,0.03,6.45550299941533,224.66483599964704,224.66483599964704,0.001,0.031,0.03,0.07,0.0010000000000000009,0.9666666666666667,0.028000000000000108,0.01,0.0,True,0
140.0,1.6,0.03,6.45550299941533,244.69709799996053,239.69709799996053,0.001,0.031,0.03,0.04,0.0010000000000000009,0.9666666666666667,0.07600000000000012,0.0,5.0,True,0
140.0,1.6,0.03,6.45550299941533,266.1441249993004,256.1441249993004,0.001,0.031,0.03,-0.05,0.0010000000000000009,0.9666666666666667,0.22000000000000014,0.14,10.0,True,0
140.0,1.6,0.03,6.45550299941533,285.50065099989297,284.50065099989297,0.001,0.031,0.03,0.12,0.0010000000000000009,0.9666666666666667,-0.05199999999999988,0.03,1.0,True,0
140.0,1.6,0.03,6.45550299941533,306.31856599939056,300.31856599939056,0.001,0.031,0.03,0.0,0.0010000000000000009,0.9666666666666667,0.14000000000000012,0.4,6.0,True,0
140.0,1.6,0.03,6.45550299941533,326.5657049996662,315.5657049996662,0.001,0.031,0.03,0.03,0.0010000000000000009,0.9666666666666667,0.09200000000000012,0.0,11.0,True,0
140.0,1.6,0.03,6.45550299941533,345.25315099926956,344.25315099926956,0.001,0.031,0.03,0.03,0.0010000000000000009,0.9666666666666667,0.09200000000000012,0.07,1.0,True,0
140.0,1.6,0.03,6.45550299941533,365.60006399940903,359.60006399940903,0.001,0.031,0.03,-0.02,0.0010000000000000009,0.9666666666666667,0.17200000000000013,0.04,6.0,True,0
140.0,1.6,0.03,6.45550299941533,386.3995159999831,375.3995159999831,0.001,0.031,0.03,-0.13,0.0010000000000000009,0.9666666666666667,0.34800000000000014,0.0,11.0,True,0
140.0,1.6,0.03,6.45550299941533,405.7378649995371,404.7378649995371,0.001,0.031,0.03,0.27,0.0010000000000000009,0.9666666666666667,-0.2919999999999999,0.08,1.0,True,0
140.0,1.6,0.03,6.45550299941533,426.7867219996333,420.7867219996333,0.001,0.031,0.03,-0.07,0.0010000000000000009,0.9666666666666667,0.2520000000000001,0.0,6.0,True,0
140.0,1.6,0.03,6.45550299941533,445.7479249995231,434.7479249995231,0.001,0.031,0.03,-0.06,0.0010000000000000009,0.9666666666666667,0.23600000000000013,0.29,11.0,True,0
140.0,1.6,0.03,6.45550299941533,465.7537859993681,464.7537859993681,0.001,0.031,0.03,-0.16,0.0010000000000000009,0.9666666666666667,0.39600000000000013,0.09,1.0,True,0
140.0,1.6,0.03,6.45550299941533,485.8040949993665,484.8040949993665,0.001,0.031,0.03,-0.16,0.0010000000000000009,0.9666666666666667,0.39600000000000013,0.09,1.0,True,0
140.0,1.6,0.03,6.45550299941533,505.6513029994676,493.6513029994676,0.001,0.031,0.03,-0.11,0.0010000000000000009,0.9666666666666667,0.31600000000000017,0.05,12.0,True,0
140.0,1.6,0.03,6.45550299941533,525.4955659993357,513.4955659993357,0.001,0.031,0.03,-0.11,0.0010000000000000009,0.9666666666666667,0.31600000000000017,0.05,12.0,True,0
140.0,1.6,0.03,6.45550299941533,545.5372669994176,538.5372669994176,0.001,0.031,0.03,-0.12,0.0010000000000000009,0.9666666666666667,0.33200000000000013,0.08,7.0,True,0
140.0,1.6,0.03,6.45550299941533,565.0438389993724,558.0438389993724,0.001,0.031,0.03,-0.12,0.0010000000000000009,0.9666666666666667,0.33200000000000013,0.08,7.0,True,0
140.0,1.6,0.03,6.45550299941533,585.1202280000507,573.1202280000507,0.001,0.031,0.03,-0.12,0.0010000000000000009,0.9666666666666667,0.33200000000000013,0.01,12.0,True,0
140.0,1.6,0.03,6.45550299941533,605.2065679996304,598.2065679996304,0.001,0.031,0.03,0.01,0.0010000000000000009,0.9666666666666667,0.12400000000000012,0.0,7.0,True,0
140.0,1.6,0.03,6.45550299941533,625.280076999843,613.280076999843,0.001,0.031,0.03,0.0,0.0010000000000000009,0.9666666666666667,0.14000000000000012,0.08,12.0,True,0
140.0,1.6,0.03,6.45550299941533,645.4950560000725,633.4950560000725,0.001,0.031,0.03,0.0,0.0010000000000000009,0.9666666666666667,0.14000000000000012,0.08,12.0,True,0
140.0,1.6,0.03,6.45550299941533,665.5466769998384,657.5466769998384,0.001,0.031,0.03,-0.18,0.0010000000000000009,0.9666666666666667,0.4280000000000001,0.0,8.0,True,0
140.0,1.6,0.03,6.45550299941533,685.387387999981,677.387387999981,0.001,0.031,0.03,-0.18,0.0010000000000000009,0.9666666666666667,0.4280000000000001,0.0,8.0,True,0
140.0,1.6,0.03,6.45550299941533,705.8121889995164,692.8121889995164,0.001,0.031,0.03,-0.09,0.0010000000000000009,0.9666666666666667,0.28400000000000014,0.19,13.0,True,0
140.0,1.6,0.03,6.45550299941533,725.501221999366,722.501221999366,0.001,0.031,0.03,-0.11,0.0010000000000000009,0.9666666666666667,0.31600000000000017,0.0,3.0,True,0
140.0,1.6,0.03,6.45550299941533,745.5612589992597,737.5612589992597,0.001,0.031,0.03,-0.01,0.0010000000000000009,0.9666666666666667,0.15600000000000014,0.02,8.0,True,0
140.0,1.6,0.03,6.45550299941533,765.7496459996764,752.7496459996764,0.001,0.031,0.03,0.01,0.0010000000000000009,0.9666666666666667,0.12400000000000012,0.0,13.0,True,0
140.0,1.6,0.03,6.45550299941533,785.745491999478,782.745491999478,0.001,0.031,0.03,0.03,0.0010000000000000009,0.9666666666666667,0.09200000000000012,0.15,3.0,True,0
